QuestChainActorGiver,QuestChainID,SuggestedLevel,Repeatable,QuestChainProbability,QuestChainLockConditions,QuestChainPreRequisite,OnAccepted,OnTracked,Reward,Title,Motto,Description,QuestChainLogic,QuestChainGiver,QuestChainLabel,AutoAccept,AutoTrack,TriggerEventId,QE,QS,QT,
QGS3-Macbeth,SY03Q09,1,No,,,EV_QE_SY03Q06,,,,Finding a Symbiont - Flare Haustor,Old Joe,"You have collected the first Haustor, a kind of symbiotic material. There are other types in dangerous areas of the Tree. Collect them for me.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Macbeth,SY03Q10,1,No,,,EV_QE_SY03Q00,,,,Sworn Enemies,Old Joe,"The Batiki, damned bastards, have built one of their bases here. They must be eliminated. As always.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q11,1,No,,,EV_QE_SY01Q21,,,MAL_UP_100,Bullets Purge,Yalda Nor,"Hey, look who's back. You've come a long way to make it this far.... Well, I'm not good at pleasantries. Actually, I hate wasting time, so: you handled the Blaise Adcott deal brilliantly, and now I want you for another hunt. Prey hiding in the far corners of the Tree.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Macbeth,SY03Q12,1,No,,,,,,,A Job for the Few,Razan,"My favorite raider! You’re not afraid of the depths of the Tree, you are a true hero. But I don't want to go there, you know? That's why I need your help. I will pay you well, you have my word, my word!",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q13,1,No,,,EV_QE_SY03Q02,,,MAL_UP_100,Once Upon a Time,Yalda Nor,"We need your help. I had sent a group of Malaxdon siblings to scout the Eerie Ruins area for evidence of the aggressive creatures invading Our Tree, but they never returned",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q14,1,No,,,EV_QE_SY03Q03,,,,A New Dawn,Dawn,"If you get this message, follow the signal.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q15,1,No,,,EV_QE_SY03Q14,,,MAL_UP_100,Rises Again,Dawn,I am helpless. They drag me along. Help me.,RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q16,1,No,,,EV_QE_SY03Q15,,,MAL_UP_100,Yard Time,Dawn,"I thank you for saving me, but my brother Set is still in the hands of the Lexon. Find the area where they are holding him and do to him what you did to me. ",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q17,1,No,,,EV_QE_SY03Q02,,,MAL_UP_100,Forbidden Experiments,Yalda Nor,"Even if you come from outside the Tree, maybe we can trust you. A group of hunter raiders killed some Tree creatures and ran away. We put a bounty on their bodies, and we want to know what they did.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q18,1,No,,,"EV_QE_SY03Q02
EV_QE_SY01Q25",,,,Raider’s Oath,J,"Did you think you were the only one who could make it this far? You idiot! You killed me twice, you won't succeed a third time!",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q19,1,No,,,EV_QE_SY03Q03,,,MAL_UP_100,Lexon Troubles,Yalda Nor,"The Lexon have moved into areas forbidden to us. They have managed to use destructive alien technology, taking advantage of the attack they made on Equilibrium. We need help to find and disable it.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Equilibrium,SY03Q20,1,No,,,EV_QE_SY03Q05,,,,Galaxy Soul,?,"Yes, it's you... It's truly you...",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Macbeth,SY03Q21,1,No,,,EV_QE_sbav,,,,Loyal Friend,Razan,"The morays affair... wow, you were amazing. I like warriors like you. You had no mercy for those creatures, and maybe you can help me again.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3Global,SY03Q22,1,No,,,EV_QE_SY03Q05,,,,Awaken,Homerus,,RESET,IMPERIAL,MANDATORY,TRUE,TRUE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
QGS4Global,SY04Q00,1,No,,,,,,CR_1000,Awaken The Ruins,Homerus,"You have arrived at the long-dead Neterunian Ruins, haunted by Alters. To use their hidden technology, you must reactivate them.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS4Global,SY04Q01,1,No,,,EV_QE_SY04Q00,,,CR_1000,Along the Twisted Branches,Homerus,The first Heka is not enough to revive the central structure. Follow the branches leading toward the outer edges of the area to find and reactivate four more Heka.,RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS4Global,SY04Q02,1,No,,,EV_QE_SY04Q00,,,CR_1000,Heka Tep,Homerus,Shoot sonic matter at the Heka Tep core to reactivate it and defend it.,RESET,HOMERUS,MANDATORY,TRUE,FALSE,,,,,
QGS4Global,SY04Q03,1,No,,,EV_QE_SY04Q00,,,CR_1000,Heka Res,Homerus,Shoot sonic matter at the Heka Res core to reactivate it and defend it.,RESET,HOMERUS,MANDATORY,TRUE,FALSE,,,,,
QGS4Global,SY04Q04,1,No,,,EV_QE_SY04Q00,,,CR_1000,Heka Sha,Homerus,Shoot sonic matter at the Heka Sha core to reactivate it and defend it.,RESET,HOMERUS,MANDATORY,TRUE,FALSE,,,,,
QGS4Global,SY04Q05,1,No,,,EV_QE_SY04Q00,,,CR_1000,Heka Ha,Homerus,Shoot sonic matter at the Heka Ha core to reactivate it and defend it.,RESET,HOMERUS,MANDATORY,TRUE,FALSE,,,,,
QGS4Global,SY04Q06,1,No,,,EV_QE_SY04Q01,,,"CR_2000
BLPU_SBDY05-Helicon",Its Fate Lies in the Void,Homerus,"All Heka units are synchronized. The energy threshold has been reached. Power surges into the central structure, awakening the Oracle to be consulted on the Rehun.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS4Global,SY04Q07,1,No,,,EV_QE_SY04Q05,,,CR_1000,Neterunian Etching,Homerus,Homerus detects a strong energy fluctuation. There might be something out there.,RESET,HOMERUS,SECONDARY,TRUE,FALSE,,,,,
QGS4Global,SY04Q08,1,No,,,EV_QE_SY04Q03,,,BLPU_MOD71-HeliconGatling_Premium,Neterunian Initiation,Homerus,The reactivation of the Heka has restored power to an aging Neterunian initiation facility. Explore it.,RESET,HOMERUS,SECONDARY,TRUE,FALSE,,,,,
QGS4Global,SY04Q09,1,No,,,EV_QE_SY04Q04,,,BLPU_MOD70-HeliconEngine_Premium,Neterunian Archive,Homerus,"Homerus has detected an ancient Neterunian archive, which may contain useful information.",RESET,HOMERUS,SECONDARY,TRUE,FALSE,,,,,
QGS4Global,SY04Q10,1,No,,,EV_QE_SY04Q02,,,CR_1000,Neterunian Pain,Homerus,Homerus detects a strong energy fluctuation. There might be something out there.,RESET,HOMERUS,SECONDARY,TRUE,FALSE,,,,,
QGS4Global,SY01Q32,1,No,,,EV_QE_SY04Q06,,,,Snake Tongs,Homerus,"Consulting the Neterunian Oracle, you've discovered that slaying the colossus Ban Hudel will grant you a weapon against the colossus Ban Krylam. Fire sonic matter at old Neterunian technology to lure Ban Hudel into a trap.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,
